longitude,latitude,mean_
44.4,33.3,62.99
65.8,31.1,0.0
66.9,32.1,10.62
44.8,33.9,13.13
13.2,10.8,0.0
13.9,13.2,0.0
13.8,13.2,0.0
75.0,33.9,8.71
42.9,37.4,5.01
13.8,11.5,0.0
14.3,12.7,0.0
13.3,13.6,0.88
13.1,11.8,8.48
12.0,11.7,4.78
71.2,34.9,0.3
44.1,2.8,0.0
67.5,28.6,3.31
70.8,32.1,3.55
67.0,30.2,62.08
65.7,36.7,1.72
44.4,33.3,62.99
37.1,35.7,0.0
20.7,5.8,0.0
43.3,33.4,39.36
44.4,33.3,62.99
44.2,34.1,8.1
41.2,37.1,24.73
71.4,34.8,0.1
44.8,12.8,7.79
82.5,18.3,0.0
44.3,33.1,21.48
44.4,33.3,62.99
81.4,18.2,0.0
29.4,-3.4,23.43
30.5,50.4,61.65
42.6,16.9,62.93
65.1,36.2,0.0
64.2,31.1,0.9
123.8,8.2,2.68
42.4,34.0,6.21
40.3,38.1,5.01
-0.5,14.7,0.0
33.8,31.1,34.11
44.3,33.5,56.42
42.4,34.2,10.71
42.5,37.2,15.8
48.5,8.4,8.74
67.1,24.9,63.0
72.0,34.2,24.19
75.0,15.5,21.03
13.5,11.0,0.0
68.7,33.9,0.0
43.9,13.5,1.51
44.0,13.6,35.51
44.0,14.0,3.31
68.4,33.3,0.0
29.4,-1.4,0.0
39.5,39.7,27.12
68.5,33.3,0.0
69.2,34.9,13.35
125.0,7.4,0.0
36.3,33.5,56.4
43.9,33.3,14.36
8.4,35.2,3.18
35.4,33.5,41.34
83.2,22.0,28.41
65.5,33.2,0.0
67.2,31.5,0.0
65.1,32.0,0.0
93.8,24.4,0.0
67.0,30.2,62.08
45.7,13.7,0.0
125.1,7.3,0.0
82.0,19.1,27.61
70.4,34.4,9.2
43.3,33.4,39.36
64.8,32.4,0.54
66.6,27.8,14.63
36.3,33.5,56.4
43.5,33.4,43.45
43.1,36.4,52.01
44.4,33.3,62.99
43.3,33.4,39.36
68.5,34.1,0.0
69.0,28.3,5.32
69.4,36.4,0.0
69.8,32.6,0.0
68.1,33.2,0.0
62.3,25.2,4.33
30.4,31.4,38.72
42.6,16.9,62.93
44.6,37.3,5.58
44.0,13.6,35.51
68.7,34.0,0.0
67.3,36.0,0.0
62.1,32.4,5.06
45.5,15.5,3.28
43.3,33.4,39.36
71.4,35.1,0.0
45.2,4.7,0.31
70.1,32.8,0.0
44.1,2.8,0.0
69.9,33.3,2.03
44.2,15.3,55.11
24.9,12.0,8.06
71.0,33.7,0.18
70.5,34.1,0.0
44.4,33.1,36.19
44.4,33.3,62.99
67.1,24.9,63.0
85.0,24.8,33.62
44.4,33.3,62.99
48.8,15.9,28.95
73.1,31.4,59.2
125.0,7.8,8.52
50.5,26.1,61.79
42.2,3.5,0.0
81.0,18.8,0.0
28.9,-0.2,0.0
62.2,33.3,0.79
70.0,33.2,0.0
65.9,32.6,6.14
70.6,33.8,0.0
49.6,14.8,19.37
50.5,26.1,61.79
44.3,33.1,21.48
44.9,34.0,28.11
44.4,33.3,62.99
40.2,35.3,13.92
77.9,29.9,34.22
62.2,34.3,22.81
44.0,33.3,22.35
49.6,25.4,63.0
64.9,36.1,0.0
93.9,24.8,25.62
8.3,8.6,0.0
