iter	Passed	Remaining
826	62854	13148
827	62925	13071
828	62991	12993
829	63061	12916
830	63136	12840
831	63217	12765
832	63291	12688
833	63372	12613
834	63449	12537
835	63527	12462
836	63598	12385
837	63667	12307
838	63737	12230
839	63808	12154
840	63885	12078
841	63954	12000
842	64028	11924
843	64096	11847
844	64162	11769
845	64246	11695
846	64329	11620
847	64400	11543
848	64495	11470
849	64580	11396
850	64652	11319
851	64726	11243
852	64799	11167
853	64882	11092
854	64961	11016
855	65041	10941
856	65122	10866
857	65195	10789
858	65265	10713
859	65338	10636
860	65417	10561
861	65498	10485
862	65570	10409
863	65641	10332
864	65722	10257
865	65795	10180
866	65868	10104
867	65934	10026
868	66008	9950
869	66088	9875
870	66125	9793
871	66213	9719
872	66284	9642
873	66359	9566
874	66431	9490
875	66506	9414
876	66579	9337
877	66652	9261
878	66732	9186
879	66806	9110
880	66884	9034
881	66959	8958
882	67025	8881
883	67067	8800
884	67145	8725
885	67219	8648
886	67294	8573
887	67359	8495
888	67428	8419
889	67494	8342
890	67567	8265
891	67643	8190
892	67712	8113
893	67793	8038
894	67878	7963
895	67963	7888
896	68042	7813
897	68097	7734
898	68172	7659
899	68246	7582
900	68317	7506
901	68388	7430
902	68457	7353
903	68528	7277
904	68606	7201
905	68682	7125
906	68758	7050
907	68832	6974
908	68903	6897
909	68973	6821
910	69046	6745
911	69118	6669
912	69193	6593
913	69262	6517
914	69329	6440
915	69405	6364
916	69450	6286
917	69520	6209
918	69606	6135
919	69675	6058
920	69746	5982
921	69818	5906
922	69916	5832
923	69995	5757
924	70073	5681
925	70155	5606
926	70229	5530
927	70306	5454
928	70386	5379
929	70463	5303
930	70541	5228
931	70616	5152
932	70689	5076
933	70760	5000
934	70832	4924
935	70903	4848
936	70970	4771
937	71045	4695
938	71116	4619
939	71192	4544
940	71267	4468
941	71342	4392
942	71416	4316
943	71494	4241
944	71569	4165
945	71645	4089
946	71728	4014
947	71771	3936
948	71844	3860
949	71914	3784
950	71984	3708
951	72056	3633
952	72124	3557
953	72198	3481
954	72268	3405
955	72341	3329
956	72396	3252
957	72470	3177
958	72544	3101
959	72614	3025
960	72690	2949
961	72768	2874
962	72847	2798
963	72922	2723
964	73000	2647
965	73077	2572
966	73153	2496
967	73224	2420
968	73295	2344
969	73369	2269
970	73424	2192
971	73495	2117
972	73567	2041
973	73634	1965
974	73706	1889
975	73779	1814
976	73850	1738
977	73924	1662
978	73998	1587
979	74068	1511
980	74136	1435
981	74210	1360
982	74281	1284
983	74354	1209
984	74426	1133
985	74496	1057
986	74572	982
987	74636	906
988	74707	830
989	74780	755
990	74851	679
991	74920	604
992	74990	528
993	75062	453
994	75137	377
995	75213	302
996	75264	226
997	75338	150
998	75409	75
999	75482	0
